,diarynum,firstName,lastName,info
25,30,Александр,Жиркевич,"Поэт, прозаик, публицист, военный юрист, коллекционер, общественный деятель. 

"
26,31,Герман,Занадворов,"Прозаик, публицист. Руководитель подпольной организации во время оккупации. Расстрелян немцами.
"
27,32,Всеволод,Иванов,"Писатель, драматург.

"
28,33,Вера,Инбер,Поэтесса и прозаик. 
29,34,Елена,Ишутина,"Педагог. Репрессирована как польская гражданка, подвергалась административной высылке. "
30,35,Николай,Каманин,"Советский лётчик и военачальник, генерал-полковник авиации, один из первых Героев Советского Союза (1934). Организатор и участник подготовки первых советских космонавтов."
31,36,Анна,Каменская,"Педагог, теософ."
32,37,Алексей,Кириллов,"Журналист, партийный работник.
"
33,38,Георгий,Князев,"Историк, архивист, директор Архива АН СССР в Ленинграде, свидетель блокады Ленинграда. "
34,39,Роберт,Куллэ,"Литературовед, преподаватель, литератор.
"
35,40,Петр,Кушников,Красноармеец. Преподаватель физики. Неоднократно подвергался репрессиям. 
36,41,Хрисанф,Лашкевич,"Пенсионер, свидетель немецкой оккупации Крыма. "
37,42,Тимофей,Лядский,"Летчик, подполковник Советской Армии, участник войны, Герой Советского Союза.

"
38,43,Михаил,Меньшиков,"Писатель, фельетонист, консервативный публицист и общественный деятель, один из идеологов русского националистического движения. Расстрелян ВЧК.
"
39,44,Николай,Мордвинов,"Актёр театра и кино, мастер художественного слова (чтец), театральный режиссёр. "
40,45,Елена ,Мухина,Советская художница; в начале войны школьница.
41,46,Юрий,Нагибин,"Писатель-прозаик, журналист и сценарист."
42,47,Евдоким,Николаев,"Рабочий, старший механик телеграфа.
"
43,48,Геннадий,Обатуров,"Советский военачальник, генерал армии.

"
44,49,Никита,Окунев,Служащий пароходства. 
45,50,Иван,Попов,Инженер-электротехник.
46,51,Григорий (Цви-Гирш),Прейгерзон,"Писатель, инженер, художественные произведения писал на иврите. Специалист в области обогащения угля, доцент Московского Горного института. "
47,52,Михаил,Пришвин,"Писатель, автор произведений о природе, охотничьих рассказов, произведений для детей разного возраста."
48,53,Николай,Работнов,"Физик-ядерщик, публицист, поэт.

"
49,54,Николай,Раевский,"Писатель, белогвардеец, эмигрант."
50,55,Николай,Ребиков,"Штабс-капитан Дроздовской гаубичной батареи, мемуарист. 
"
51,56,Дмитрий,Решетников,"Техник, штабс-капитан, белогвардеец, эмигрант."
52,57,Иван,Сагацкий,"Белогвардеец, сотник, инженер-геолог, доктор естественных наук, эмигрант.
"
53,58,Альфред,Сайвальд,"Инспектор уголовного розыска, водитель."
54,59,Юлия,Соколова-Пятницкая,"Учительница, инженер.
"
55,60,Виктор,Старков,"Поэт, журналист.
"
56,62,Артур,Страдиньш,"Латыш, айзсарг, бухгалтер.
"
57,63,Вера,Судейкина,"Актриса Камерного театра и русского немого кино, художница прикладного искусства, живописец."
58,64,Николай,Таганцев,"Юрист, криминалист, государственный деятель.

"
59,65,Леонид,Тимофеев,"Литературовед и переводчик. Доктор филологических наук, член-корреспондент АН СССР (1958), действительный член АПН СССР ."
60,66,Николай,Устрялов,"Правовед, философ, политический деятель; называется основоположником русского национал-большевизма, идеологом «сменовеховства». Репрессирован и расстрелян. 
"
61,67,Даниил,Фибих,"Писатель, журналист.  Подвергался репрессиям. "
62,68,Михаил,Фроловский,"Поэт, художник, переводчик.
"
63,69,Зоя,Хабарова,"Школьница, свидетель немецкой оккупации Крыма. Медицинский работник. "
64,70,Ольга,Хузе,"Библиотекарь, литературовед, педагог.
"
65,73,Мариэтта,Шагинян,"Писательница, одна из первых советских писательниц-фантастов.


"
66,74,Евгений,Шварц,"Писатель, драматург, сценарист, первопоходник. 


"
67,75,Андрей,Шингарев,"Земский, общественный, политический и государственный деятель, специалист в области государственного хозяйства и бюджета от либеральной общественности, врач общей практики, публицист."
68,76,Иван,Шитц,"Историк, преподаватель, экскурсовод, редактор БСЭ.
"
69,77,Анатолий,Якобсон,"Поэт, переводчик, историк русской литературы и идейной мысли, правозащитник.


"
70,78,Дмитрий,Фурманов,"Советский писатель-прозаик, революционер, военный и политический деятель.


"
71,80,Павел ,Филонов,"Художник, поэт, один из лидеров русского авангарда; основатель, теоретик, практик и учитель аналитического искусства. Муж [Серебряковой Е. А.](http://prozhito.org/person/2845)"
72,81,Эдуард ,Кузнецов,"Писатель, журналист, узник сиона, израильский общественный деятель. "
73,82,None,None,None
74,83,Сергей,Елисеев,"Востоковед.
"
75,84,Нестор,Белоус,"Крестьянин, свидетель массового голода 1932-1933 гг."
76,85,Татьяна,Сухотина-Толстая,"Старшая дочь [Л. Н. Толстого](http://prozhito.org/person/191), мемуарист. Супруга [М.С. Сухотина](http://prozhito.org/person/1070)."
77,86,Нина,Соболева,"Редактор журнала ""Сибирские огни"".
Свидетельница блокады Ленинграда."
78,88,Николай,Попудренко,"Командир партизанского соединения, один из организаторов и руководителей партийного подполья и партизанского движения на Украине, секретарь Черниговского подпольного обкома Коммунистической партии."
79,89,Николай,Беляев,"Священнослужитель РПЦ, иеромонах, последний духовник Оптиной пустыни. Репрессирован и выслан в Архангельскую область."
80,90,Александр ,Любищев,"Философ, биолог, энтомолог, специалист по применению математических методов в биологии, по общим проблемам биологической систематики, теории эволюции и философии."
81,91,Михаил,Лилье,"Военный инженер, участник обороны Порт-Артура, мемуарист."
82,92,Нина ,Костерина,"Комсомолка, дочь репрессированного писателя и журналиста А. Костерина. Во время обороны Москвы направлена в партизанский отряд, где  погибла при неизвестных обстоятельствах."
83,93,Валентин,Илюков,Моряк.
84,94,Николай,Зыков,"Революционер, председатель исполкома Мохченского Совета."
85,95,Феликс,Дзержинский ,"Революционер, советский государственный деятель, глава ряда наркоматов, основатель ВЧК. "
86,96,Елизавета,Аргировская,"Медсестра, учительница русского языка, музыкант. Жена [Василия Аргировского](http://prozhito.org/person/204). Мать [Сергея Аргировского](http://prozhito.org/person/2666).  Умерла от голода в блокадном Ленинграде. "
87,97,Сергей ,Булгаков,"Священнослужитель РПЦ, философ, богослов. В 1922 году выслан за пределы СССР, с этого времени жил в эмиграции."
88,98,Олег,Борисов,"Актёр театра и кино, кинорежиссёр. "
89,99,Владимир ,Борисенко,"Школьник, свидетель немецкой оккупации Крыма."
90,100,Валерий,Золотухин,"Актёр театра и кино, художественный руководитель Театра на Таганке."
91,101,Владимир ,Ситников,Экономист.
92,102,Лев,Николаев,"Медик, антрополог и анатом, специалист в области биомеханики и протезирования, доктор медицинских наук, профессор."
93,103,Александр ,Дрейцер,"Медик. Во время Гражданской войны начальник медицинской службы Второй Армии, капитан Первого Ранга. До войны - глав.врач ЦеКУБУ в Москве."
94,104,Георгий,Аммосов,Студент-юрист.
95,106,Андрей ,Ковалевский,"Лейтенант Красной армии, техник-ремонтник самоходных установок. "
96,107,Ирина,Хорошунова,"Художник-оформитель, свидетель немецкой оккупации Киева. "
97,108,Борис,Абрамсон,"Медик-хирург, преподаватель, исследователь. "
98,109,Владимир ,Голицын ,Действительный тайный советник и камергер. Губернатор Москвы. После революции неоднократно арестовывался. 
99,110,Леонид ,Андреев,"Писатель, представитель Серебряного века русской литературы. Считается родоначальником русского экспрессионизма.
Муж [Анны Андреевой](http://prozhito.org/person/3190). "
100,112,Василий,Аргировский,"Преподаватель русского языка и литературы. Муж [Елизаветы Аргировской](http://prozhito.org/person/98), отец [Сергея Аргировского](http://prozhito.org/person/2666). 
Умер от голода в блокадном Ленинграде."
101,113,Исаак,Бабель,Писатель и драматург. Репрессирован и расстрелян. 
102,114,Борис,Белявский,Инкассатор. Брат [Мезько К. Е.](http://prozhito.org/person/882)
103,115,Александр,Бенуа,"Художник, историк искусства, критик, основатель и главный идеолог объединения «Мир искусства»."
104,117,Ольга,Бессарабова,Сестра Б.А. Бессарабова и вторая жена С.Б. Веселовского.
105,118,Василий,Болдырев,"Военный и государственный деятель, генерал-лейтенант. Участник антибольшевистского сопротивления на Востоке России. Верховный главнокомандующий войск Директории."
106,119,Лев ,Британишский,"Живописец, график, керамист."
107,120,Вера,Бунина,"Жена [И.А. Бунина](http://prozhito.org/person/22), переводчица, мемуаристка."
108,121,Владимир,Бушин,"Писатель, публицист, литературный критик, фельетонист, общественный деятель. В годы ведения дневника - солдат."
109,122,Сергей,Вавилов,"Физик, основатель научной школы физической оптики в СССР, академик и президент АН СССР, общественный деятель и популяризатор науки."
110,123,Мария,Васильчикова,"Эмигрантка, близкая кругу заговорщиков, готовивших покушение на Гитлера, мемуаристка."
111,124,Владимир ,Вернадский,"Естествоиспытатель, мыслитель и общественный деятель, академик. Создатель ряда научных школ. Один из представителей русского космизма; создатель науки биогеохимии."
112,126,Андрей,Вышинский,"Советский государственный и партийный деятель. Дипломат, юрист, один из организаторов сталинских репрессий."
113,127,Николай,Гарин-Михайловский,"Писатель, публицист, инженер-изыскатель, строитель, путешественник, общественный деятель. "
114,128,Зинаида,Гиппиус,"Поэтесса и писательница, драматург и литературный критик, одна из видных представительниц «Серебряного века» русской культуры."
115,129,Евгений,Гнедин,"Советский дипломат, писатель, журналист, участник диссидентского движения."
116,130,Игнатий,Горин,"Участник Гражданской войны, Первой и Второй мировых войн. Крестьянин, в начале 30-х был раскулачен и сослан на спец.поселение. На момент ведения дневника - солдат Советской армии. "
117,131,Юрий,Готье,"Историк, академик, директор Румянцевского музея (1898—1930).  В 1930 арестован по «академическому делу», выслан на 5 лет в Самару."
118,132,Георгий,Гоштовт,Участник Белого движения. После ликвидации Северо-Западной армии в декабре 1919 г. эмигрировал во Францию. 
119,133,Федор,Григорьев,"Директор Первого петербургского кадетского корпуса, двоюродный дядя  М. Глазунова и дед И. С. Глазунова."
120,134,Михаил,Гробман,"Российский и израильский поэт и художник. Один из лидеров, теоретик и идеолог Второго русского авангарда."
121,135,Владимир,Даватц,"Военно-общественный деятель, подпоручик, активный участник Белого движения, галлиполиец, профессор-математик Харьковского университета, журналист, публицист, мемуарист."
122,136,Ирина,Даева,Школьница. 
123,137,Мария,Даева,Школьница. 
124,138,Игорь,Дедков,Литературный критик. 
125,140,Виктор,Долженко,"Фармацевт, свидетель немецкой оккупации Ейска."
126,141,Николай,Дружинин,"Историк, специалист по социально-экономической и политической истории XIX века. Академик АН СССР (1953)."
127,142,Софья,Дрыжакова,Жена уездного врача и мать четырех сыновей.
128,143,Елизавета ,Дьяконова,"Публицист, автор рассказов и стихов. "
129,144,Андрей,Еременко,"Советский полководец, участник Великой Отечественной войны, Маршал Советского Союза."
130,145,Василий,Ершов,"Пилот гражданской авиации,  писатель."
131,146,Виктор,Жирмунский,"Лингвист и литературовед, доктор филологических наук, профессор, академик АН СССР. "
132,147,Валентин,Зимин,"Художник, солдат. Погиб на фронте. "
133,148,Владимир,Кадеев,"Историк и археолог, доктор исторических наук, профессор."
134,149,Эммануил,Казакевич,"Русский и еврейский советский писатель, поэт, переводчик. Прозаические произведения писал преимущественно на русском языке, поэзию — на идише."
135,150,Сидор,Ковпак,"Генерал-майор, командир крупного партизанского подразделения, один из организаторов партизанской борьбы на Украине."
136,151,Залман,Кодрянский,"Инженер, во время ведения дневника служит в строительных войсках."
137,152,Александра,Коллонтай,"Революционерка, государственный деятель и дипломат. Чрезвычайный и полномочный посол СССР. "
138,153,Михаил,Кольцов,"Журналист, публицист, издатель, руководитель «Журнально-газетного объединения».  Арестован и расстрелян."
139,154,Борис,Комский,Сержант Советской армии.
140,155,Владимир,Короленко,"Писатель, журналист, публицист, общественный деятель, правозащитник."
141,156,Юлия,Кривулина,Коллектор геологической партии. 
142,157,Михаил,Кузмин,"Поэт Серебряного века, переводчик, прозаик, композитор."
143,158,Тамара,Лазерсон,"Школьница, узница каунасского гетто. "
144,159,Сергей,Лазо,"Советский военачальник и государственный деятель, принимавший активное участие в установлении советской власти в Сибири и на Дальнем Востоке, участник Гражданской войны."
145,160,Юрий,Лапшин,Заместитель командира 345-го отдельного гвардейского парашютно-десантного полка из состава советских войск в Афганистане. 
146,161,Иван,Ложкин,"Сержант Красной армии, рабочий."
147,162,Нина,Луговская,"Советский живописец, театральный художник. В момент ведения дневника - ленинградская школьница."
148,163,Эрлена,Лурье,Ленинградская школьница. 
149,164,Николай,Мендельсон,"Филолог, преподаватель. "
150,165,Василий ,Меркушов,"Командир подводной лодки ""Окунь"" Балтийского флота, участник Первой мировой войны."
151,166,Зинаида ,Мечтова,Сельская учительница.
152,169,Евгений,Мравинский,Дирижер. 
153,170,Михаил,Наумов,"Генерал-майор, один из руководителей партизанской борьбы на Украине."
154,171,Ирина ,Никонова,Московская школьница. 
155,172,Алексей,Орешников,"Сотрудник Исторического музея, специалист по русской и античной нумизматике."
156,173,Лидия (Олимпиада),Осипова,"Публицистка, эмигрантка, коллаборантка. 
После занятия Пушкина немецкими войсками, перешла на их сторону."
157,174,Софья,Островская,"Переводчица, мемуаристка. Сотрудничала с МГБ."
158,175,Иван,Папанин,"Советский исследователь Арктики, доктор географических наук, контр-адмирал."
159,176,Филадельф,Паршинский,"Житель Архангельска, пенсионер."
160,177,Владимир ,Пилкин,"Контр-адмирал, участник Белого движения."
161,178,Вячеслав ,Полонский,"Критик, журналист и историк. Редактор ""Нового мира"" в 1926-1931 гг."
162,179,Сергей,Прокофьев,"Композитор, пианист, дирижёр и педагог. "
163,180,Сергей,Рашевский,"Офицер инженерных войск русской армии, участник обороны Порт-Артура."
164,181,Андрей,Романов,"Член Российского Императорского дома, генерал-майор, эмигрант. "
165,182,Константин,Романов,"Член Российского Императорского дома, генерал-адъютант, президент Императорской Санкт-Петербургской академии наук, поэт, переводчик и драматург."
166,183,Николай II,Романов,"Российский император из дома Романовых. Отрёкся от престола в марте 1917 года, в июле 1918 года расстрелян вместе с семьёй и приближёнными."
167,184,Виталий,Рубин,"Философ-востоковед, сионист, участник диссидентского движения, член первого состава Московской Хельсинкской группы. В 1976 году выехал в Израиль."
168,185,Семен ,Руднев,"Генерал-майор, один из руководителей партизанского движения на Украине."
169,186,Юрий,Рябинкин,"Ленинградский школьник, свидетель блокады Ленинграда. "
170,188,Давид,Самойлов,"Поэт, переводчик. Участник войны."
171,189,Сергей,Семанов,"Историк,  публицист, общественный деятель, заведующий редакцией «Жизнь замечательных людей» издательства «Молодая гвардия», главный редактор журнала «Человек и закон». "
172,190,Елена,Скрябина,"Эмигрантка второй волны, профессор русской литературы, мемуаристка. "
173,191,Василий,Смирнов,"Краевед, археолог, этнограф, директор Костромского музея.  Брат [М.И. Смирнова](http://prozhito.org/persons/319). В 1930 году арестован и выслан в Архангельск. Дневник вел в тюрьме и в ссылке."
174,192,Александр,Судоплатов,"Белогвардеец, вольноопределяющийся Первого партизанского генерала Алексеева пехотного полка Добровольческой армии, эмигрант."
175,193,Андрей,Тарковский,"Советский кинорежиссёр и сценарист, после 1980 года работавший в Западной Европе. "
176,194,Александр,Твардовский,"Поэт и писатель, главный редактор ""Нового мира"". "
177,195,Софья,Толстая,Жена [Л. Н. Толстого](http://prozhito.org/person/191). 
178,196,Лев,Толстой,"Русский писатель и мыслитель, просветитель, публицист, религиозный мыслитель, член-корреспондент Императорской Академии наук, почётный академик по разряду изящной словесности."
179,199,Леонид,Фиалковский,"Старший военный фельдшер танковой бригады, участник Сталинградской битвы."
180,200,Марк,Харитонов,"Писатель, эссеист, поэт, переводчик."
181,201,Владислав,Ходасевич,"Поэт, критик, мемуарист и историк литературы (пушкинист)."
182,202,Александр ,Чудаков,"Литературовед, писатель.

"
183,203,Корней,Чуковский,"Поэт, публицист, литературный критик, переводчик и литературовед, детский писатель, журналист. "
184,204,Василий,Чуркин,Ополченец 88-го артиллерийского полка 80-й стрелковой Любанской дивизии.
185,205,Любовь,Шапорина,"Художница, переводчица, создательница первого в советской России театра марионеток, жена композитора Ю. А. Шапорина. Свидетель блокады Ленинграда."
186,206,Валентин,Шелохаев,"Доктор исторических наук, профессор, академик РАЕН."
187,207,Федор,Шикутц,"Старший конный ординарц Кирсановского полка, участник Русско-Японской войны. "
188,208,Михаил,Шукаев,"Полковник, организатор и активный участник партизанского движения на территории Украины и Чехословакии."
189,209,Ирина,Эренбург,"Переводчица, дочь И.Г. Эренбурга."
190,210,Георгий,Эфрон,"Сын [Марины Цветаевой](http://prozhito.org/person/1388), переводчик."
191,212,Даниил ,Святский,"Астроном, метеоролог. Во время ведения дневника сидел в тюрьме за призыв помочь московскому восстанию (1905)."
192,213,Серафима ,Балаева,"Специалист музейного дела, сотрудник Гатчинского дворца-музея."
193,214,Анна,Зеленова,"Искусствовед, литературовед, директор Павловского дворца-музея (1941-1979)."
194,215,Владимир,Макаров ,"Историк, специалист музейного дела.
В годы блокады Ленинграда - консультант ГИОП, затем - заместитель председателя закупочной комиссии Ленинградского Управления по делам искусств."
195,216,Милица,Нечкина,"Историк, академик АН СССР."
196,217,Александр ,Серебровский,"Генетик, член-корреспондент АН СССР, академик ВАСХНИЛ."
197,218,Сергей ,Дмитриев,"Историк, историограф, музейный работник, педагог."
198,221,Александр,Храбровицкий,"Литературовед (исследователь творчества [В. Г. Короленко](http://prozhito.org/person/149)), писатель и краевед."
199,222,Александр,Гладков,Драматург и киносценарист.
200,223,Александр,Киреев,Публицист-славянофил.
201,227,Ариадна ,Тыркова-Вильямс,"Общественный и политический деятель, журналистка, писательница, критик. С начала 1920-х - в эмиграции."
202,229,Зинаида,Шнитникова-Лагарп,"Демограф, статистик. Свидетель блокады Ленинграда. Дочь [Захария Френкеля](http://prozhito.org/person/395)."
203,230,Иосиф ,Литвинов,"Историк. Во время Гражданской войны - политработник. Окончил Институт Красной профессуры, ученик и сотрудник  М.Н. Покровского. С 1931 г. – сотрудник торгпредства в Лондоне., невозвращенец. "
204,233,Николай ,Глашкин,"Студент литературного факультета Тульского пединститута, затем - солдат Советской армии. "
205,234,Корнелий,Зелинский,Советский литературовед и литературный критик.
206,235,Михаил ,Саввин,Сельский учитель.
207,236,Мария,Дулова ,"Певица (сопрано). Княгиня, жена скрипача, князя Георгия Дулова, мать арфистки Веры Дуловой."
208,237,Алексей,Мильчаков ,"Поэт, писатель, библиофил."
209,238,Геннадий,Калачев,"Сержант, командир расчета минометной батареи."
210,239,Михаил,Тихомиров,Школьник.
211,240,Владимир,Семенов,Дипломат.
212,241,Андрей,Аржиловский,"Крестьянин, уроженец с. Зырянка (Зырянское) Тюменского района Омской области. Счетовод сельхозартели ""Прогресс"". Несколько раз арестовывался, расстрелян."
213,242,Ролан ,Быков,"Актёр, театральный режиссёр, кинорежиссёр, сценарист."
214,243,Роза,Шанина,"Советский одиночный снайпер отдельного взвода снайперов-девушек 3-го Белорусского фронта, кавалер ордена Славы."
215,244,Натан,Эйдельман,"Историк и писатель, пушкинист."
216,245,Иван ,Харкевич,"Инженер-теплотехник, главный энергетик завода ""Красная Этна""."
217,248,Николай,Козаков,Водитель.
218,249,Анна,Аллендорф,Учащаяся Нижегородского Мариинского Института благородных девиц.
219,250,Юсуп ,Абдрахманов ,Первый Председатель Совета Народных Комиссаров Киргизской АССР. Репрессирован и расстрелян.
220,251,Дмитрий,Каралис,"Писатель, прозаик, публицист и киносценарист."
221,252,Татьяна ,Доронина,"Актриса театра и кино, театральный режиссёр. Художественный руководитель МХАТ им. М. Горького."
222,253,Павел,Антокольский,Поэт и переводчик.
223,254,Лидия,Андросова,"Подпольщица Великой Отечественной войны, участница антифашистской организации «Молодая Гвардия»."
224,255,Алексей ,Гаврилов ,"Милиционер, в 1920-е – 1930-е годы работавший во МХАТе."
225,256,Сарра,Глейх,"Студентка, свидетель уничтожения евреев Мариуполя. "
226,257,Гавриил,Шаталов,"Капитан гвардии, художник, член Союза журналистов СССР."
227,258,Юсиф,Чеменземинли,"Азербайджанский писатель, публицист, драматург, историк, фольклорист и политический деятель."
228,259,Софья ,Аверичева,"Театральная актриса, во время Великой Отечественной войны - разведчица."
229,260,  ,Аноним,Гимназист. Свидетель Февральской революции 1917 года. 
230,261,Николай,Поздняков ,Государственный деятель. В 1938-1940 полномочный представитель СССР в Литве. 
231,262,  ,Аноним ,Школьник.
232,271,Аркадий ,Ахтамов ,Младший сержант .
233,272,Евгений,Виноградов ,"Сапер, старший сержант."
234,273,  ,Аноним,"Формовщик в артели, свидетель немецкой оккупации Евпатории."
235,274,Николай,Минчаков ,Старший офицер батареи.
236,275,Наталья,Туренко ,"Поэт, публицист."
237,276,Георгий,Седов,"Гидрограф, полярный исследователь. Организатор неудачной экспедиции к Северному полюсу, во время которой умер."
238,277,Борис ,Литвинов,"Учёный-физик, академик, специалист в области атомной науки и техники."
239,278,В.,Кутный,Сотрудник оперативной группы КГБ в Афганистане.
240,279,Муся,Кротова,Педагог.
241,280,Ольга ,Эйхенбаум,"Филолог, дочь Б.М. Эйхенбаума и мать жены О.И. Даля."
242,281,Алексей,Боровой,"Социолог, психолог, философ, теоретик анархизма."
243,282,Андрей,Буров,Архитектор и инженер-изобретатель.
244,283,Святослав,Быковский ,В годы Первой мировой войны - военный фельдшер в 19-й Донской отдельной казачьей сотне 3-го армейского корпуса 1-й армии.
245,284,Николай,Васильев,Актер. В годы ведения дневника - ленинградский школьник. Свидетель блокады Ленинграда.
246,285,Мария,Васильева,"Геолог, свидетель блокады Ленинграда."
247,286,Капитолина,Вознесенская,"Школьница, свидетель блокады Ленинграда."
248,287,Мария,Еремина,"Ученица строительного техникума, блокадница. "
249,288,Валерия,Троценко,"Школьница, блокадница."
250,289,Валентина,Петерсон,"Школьница, свидетель блокады Ленинграда.
Ученица [Ксении Ползиковой-Рубец](http://prozhito.org/person/924)."
251,290,Борис,Капранов,"Комсомолец, свидетель блокады Ленинграда."
252,291,Владимир  ,Кулябко,"Инженер-консультант в Институте холодильной промышленности, свидетель блокады Ленинграда."
253,292,Анна,Малород,Учительница толстовской школы.
254,293,Анатолий ,Матвеев,"Младший лейтенант, командир минометной батареи."
255,294,Мария,Сванидзе,Оперная певица. Жена брата первой жены Сталина. Репрессирована и расстреляна. 
